settlement_id,name,type,culture_id,owner,description
askar,Askar,Town,1,The Emir Iyalas,"Askar dominates the middle stretches of the Damar River, as it weaves between the bluffs of the Jarjara Escarpment. This region has been thickly populated for thousands of years, but the river is restless, and every few centuries leaps its banks and erases what comes before. This latest regional capital was an imperial encampment during their furthest penetration of the Nahasa Desert several centuries ago, taken over by the 1 tribes after the legions withdrew. [1]"
hubyar,Hubyar,Town,1,Emir Tais,"The inland city of Hubyar is said to be built on the ruins of a luxurious hunting lodge built by the decadent and cruel king Thuran, whom the patriarch Asera slew in vengeance for the enslavement of his family. This memory may explain the worldview of the fierce and austere Banu Qild, who hold the castle today and who detest all frivolity. But the scent of jasmine that can be detected on the night breezes here carry an undercurrent of temptation. It was here that the hero Nimr came to grief, caught in the chamber of a Banu Qild maiden and left hanging in a cage in the market until he perished.[1]"
husn_fulq,Husn Fulq,Town,1,Emir Adram,"Husn Fulq sits at the southeastern edge of the Calsea, the network of rivers and brackish lagoons linking the Empire to the 1 lands. Fulq, also known as Phalcos, was a dark-faced mercenary chieftain who came from lands far to the south. He founded a fortress here and then parlayed its strategic location into a forture, taking bribes from the Empire and then from the 1 to switch sides. After 20 years of playing both sides back and forth he sailed home in a ship laden with gold, but many clans of the 1 proudly claim descent from him, and the 'Tricks of Fulq' are a staple of many a bazaar storyteller's repertoire.[1]"
iyakis,Iyakis,Town,1,The Emir Suruq,"Iyakis sits in a cleft in the Jarjara Escarpment, where the waters of the fierce but brief desert rains can be trapped and used for irrigation. Several generations ago it was an autonomous outpost of the Empire known as Yachios, dominated by the Carasios clan. Fifty years ago however they saw the writing on the wall for imperial dominion in the southlands and began intermarrying themselves with the tribes of the Nahasa. Today, known as the Qaraz, they take their places in the councils of the sultanate like any other family of the 1.[1]"
qasira,Qasira,Town,1,Emir Talas,Qasira       Settlement Information  Type Town   Kingdom 1   Villages Ezbet NahulAbghan   Port Yes    Qasira is a town of the 1 ruled by Emir Talas of the Banu Atij. The villages of Ezbet Nahul and Abghan are bound to the town.
quyaz,Quyaz,Town,1,Sultan Unqid,"Quyaz was once a mercantile republic that dominated the trade between the western ocean and the Perassic Sea, speaking the now all-but-extinct Kannic tongue, a relative of the Nahasi language. But imperial hegemony slowly snuffed out its trade, and the ruler was taken over by mercenaries from the Nahasi tribes. It came intermittently under imperial subjugation but today is a prized holding of the Banu Hulyan, a leading clan of the 1 Sultanate.[1]"
razih,Razih,Town,1,Emir Adram,"Razih is said to be the base from which Kannic explorers set forth to colonize the shores of the Perassic Sea in the centuries before the coming of the Empire, the prows of their ships decorated with the intertwined vine leaves of the Kannic goddess of wealth, wine, love, and war. Today, the Kannic tongue has been replaced by Nahasi dialects and their religion is all but forgotten, but the symbol lives on, said to protect those who risk all for the sake of gain or glory.[1]"
sanala,Sanala,Town,1,The Sultan Unqid,"The port of Sanala is the gateway through which the grain of the Damar River has flowed forth to feed a hungry world. The Empire's periodic advances south of the Perassic Sea have usually been aimed at seizing this strategic prize. Although the legions were long ago been forced to retreat, Sanala remains among the most cosmopolitan cities in Calradia, filled with merchants from many lands bidding for the lowest bulk prices.[1]"
car_banseth,Car Banseth,Town,2,The Chieftain Melidir,"Car Banseth sits high on the cliffs of Ailta Druin. Staring north on a clear day, across lands that were once 2n but are now held by the 6ns and 7ns, one can see the waters of the Bay of Varcheg. It is said that those who keep faith will one day witness from this high point the ships of the vanished High King Mon, who shall return to deliver his people from their enemies. But today, one is far more likely to see the sails of Nordic adventurers and mercenaries, coming to assist the foreigners in their relentless push into 2n land."
dunglanys,Dunglanys,Town,2,The Chieftain Ergeon,"Dunglanys, the 'Rock of Glanys', stands on a high crag overlooking the Llyn Tywal, the pool of darkness at the heart of the 2n lands. It was named after an ancient queen who, legend has it, married in succession five high kings of 2, bestowing sovereignty upon them. It is the center of the rituals that underpin 2n kingship, and though not every 2n high king has ruled from here, all are eager to hold it."
marunath,Marunath,Town,2,High King Caladog,"Marunath       Settlement Information  Type Town   Kingdom 2   Villages Ath CafalBeglomuarDalmengusEbereth   Sieges with... LadderSiege TowerBattering Ram   Port No    Marunath is a town of the Kingdom of 2, ruled by High King Caladog of clan fen Gruffendoc."
pen_cannoc,Pen Cannoc,Town,2,Mormaer Aeron,"Pen Cannoc sits on a promontory overlooking the Trand river as it plunges from the Uchalion plateau into the 7n lowlands. Legends speak of the water-nymphs who live in the dark pools under the rock, luring travellers and invaders to their deaths except on those rare occasions when they fall in love with a hero and grant him victory and blessings. Certainly the fisherfolk of this region have learned respect for the perils of the upper Trand, where a small misstep on slippery stone can cast one off a precipice into the waters below."
seonon,Seonon,Town,2,Mormaer Luichan,"Seonon, sad Seonon, has a history as dark as the waters of the Llyn Tywal. Here Algana the Fair stood atop the tower lamenting the death of her beloved Gorawan, until the spirits of the Otherworld were themselves overcome with sadness and allowed his shade to ascend through the pool for a day and a night to console her. In latter days this land has often been ravaged by 6n raiders, and not far from here lies the wood where King Aeril disappeared, clearing the way for the rise of Caladog."
akkalat,Akkalat,Town,4,Hurunag Beg,"The town that the 4 know as Akkalat, the White Fortress, was built by the fearsome Padishah Hoshtar on one of his periodic attempts to conquer the Devseg. For decades the sacred flame that burned from the top of the citadel symbolised his suzerainty over the tribes here. But the Padishah's realm like the Empire is on the defensive and has retreated to the east. Today the Khan's horsetail banners fly in its place."
baltakhand,Baltakhand,Town,4,Mesui Begum,"Baltakhand, the Fortress of the Axe, was settled by the Iltanlar, mountain-dwelling cousins of the 4. Centuries ago their beys descended into the plains and created the fortress here that guards the Portages of Iltan, the network of lakes and rivers that divides the 6n lands from the 4's realm. Bitter winters protected them from the reach of the Empire, but no blast of wind was cutting enough to stop the horsemen of Khan Urkhun, who 40 years ago forced this town to submit to the khanate."
chaikand,Chaikand,Town,4,Monchug Khan,"Chaikand       Settlement Information  Type Town   Kingdom 4   Villages OkhutanIspantarPabastan   Sieges with... Battering RamLaddersTowers   Port Yes    Chaikand is a town of the 4 owned by Monchug Khan of the Urkhunait. The villages of Okhutan, Ispantar, and Pabastan are bound to the town."
makeb,Makeb,Town,4,Monchug Khan,"Makeb       Settlement Information  Type Town   Kingdom 4   Villages ShapeshteHanekhyMazen   Sieges with... Battering RamLaddersTowers   Port No    Makeb is a town of the 4 owned by Monchug Khan of the Urkhunait. The villages of Shapeshte, Hanekhy, and Mazen are bound to the town."
odokh,Odokh,Town,4,Akrum Beg,"The town of Odokh sits at the foot of Kohi Rohini, the mountains of the dawn. Among the most remote of the towns of the Devseg, it is reputed to have been the abode of King Ahhak, a mythical tyrant from whose shoulders flowed serpents. Even today the Kohi Rohini has a reputation for black magic and mystery that helps keep outsiders at bay. The city fell during the 4 conquest to the Harfit clan, who have intermarried with the mountain peoples, and who honor their customs, participate in their rituals, and keep their secrets."
ortongard,Ortongard,Town,4,Tulag Beg,"Ortongard sits in the dry center of the Devseg plateau, which is dry for most of the year but offers rich grazing in the spring. Founded by Darshi-speaking merchants, it made its wealth buying horses, sheep and cattle from the surrounding herding villages and sending them west to the markets of the Empire in huge drives, accompanied by guards to ward off raiders from the steppes. Neither its walls nor its mercenary armies could withstand the coming of Khan Urkhun, however, who it granted to the Khergit clan in recognition of their valor."
balgard,Balgard,Town,6,Grand Prince Raganvad,"Balgard, which sits on the icy waters of Mazopor Bay, was founded by migrants from the Nordlands. Legend holds that the initial wave of Nords arrogantly demanded tribute from the nearby Vakken and 6n tribes, who formed an alliance and drove the newcomers back to their ships. But the victors fell out over the spoils, until a canny Nord, Gundar, landed and volunteered to help them fairly divvy up the weapons and armor of his dead kinsmen. The residents recognized Gundar's lordship over the region and his descendants, intermarried with the 6ns, are today the grand princes of 6.[1]"
omor,Omor,Town,6,Knyaz Olek,"Omor sits on the eastern shores of Lake Laconis. Long before the 6ns formed themselves into a principality it was a holy site for the forest tribes, who worshipped their gods and ancestors in the sacred oak trees of the nearby woods. Today, it is an emporium for fur trappers and woodsmen who prowl the Ircara Wildlands to the east, and the primeval peace of the forests is drowned out by the sounds of bartering, saws, and the unloading of ships at the lake.[1]"
revyl,Revyl,Town,6,Knyaz Vyldur Of Clan Togaroving,"Revyl, chief town of the rocky Kachyar Peninsula, was a traditional rival of Balgard. According to legend the Balgardian princess Arkina, whose husband had been slain by the Revylians, accepted a proposal from her enemy's king to marry and settle the feud. On her wedding night, however, she barred the door of his hall and burned him and a hundred of his kinsmen and warriors alive inside. The feud has long since been settled by pacts and marriages with happier outcomes, although Revylians still resent the ascent of the Balgardian Gundaroving dynasty.[1]"
sibir,Sibir,Town,6,Knyaz Fafen,"Sibir was founded in a dark valley amid the Chertyg Mountains by Nordic traders, who wished a base to buy furs from the local Vakken-speaking foresters. As the 6n tribes became principalities, and elected chieftains evolved into boyars who demanded taxes and labor as their due, this region became a magnet for 6ns who had little taste for deference. Today, the ambitious Isyaroving family governs this region, but they must always balance their hunger for wealth and men to fight their wars with their subjects' reluctance to provide it.[1]"
tyal,Tyal,Town,6,Godun,"Tyal sits in the western foothills of Mount Iltan, on the eastern borders of the 6n lands. This region has long stood aloof from the power struggles of the other 6n principalities. Its people are known as wanderers, traders, horse breeders and fur-trappers. The local aristocracy has occasionally exchanged princesses with the steppe tribes to the east to firm up a truce or a trade pact, and proudly includes the names of several great khans on their list of ancestors.[1]"
varcheg,Varcheg,Town,6,The Grand Prince,"The former Nord colony of Varcheg sits on a windswept sea-bluff at the base of the Kachyar peninsula, in what was once 2n land. The jarl who founded this coastal outpost, hoping to trade with the interior, pledged himself in fealty to the 2n High King Dernmachad, but then proceeded to dabble in 2n politics. Annoyed, Dernmachad hired a 6n army to crush his unreliable new vassal. The 6ns complied and routed the Nords, but then demanded the newly captured town as their payment. They called the town 'Varcheg', a corruption of the Nordic term for 'oathsworn companion', to mock both rivals whose quarreling had handed them their prize."
varnovapol,Varnovapol,Town,6,Boyar Yorig,"Varnovopol, which sits beneath the Chertyg Mountains on the crystal waters of Lake Laconis, has the dubious honor of being perhaps the most-often conquered city in Calradia. Originally it was a colony of the Empire, infamous as a place of exile for dissident senators, before it was seized by Nords as a base to expand their influence into the 6n fur trade. It was taken by the Alkit tribe from the eastern steppe and briefly served as the capital of a small khanate, before finally falling to the fierce Ormidoving clan.[1]"
charas,Charas,Town,7,The Baron Ingalther,"The city known today as Charas is traditionally reckoned to be the first Calradian colony on the shores of their new continent. At the Empire's height, when the capital moved north to Paravenos, Charasea remained a key hub of sea-faring and trade, while imperial aristocrats built their summer homes on the warm shores of the nearby gulf and cruised their pleasure-boats around its islands. When the 7ns came, Charas fell into the hands of the ruthless House of dey Cortain, and its wealth funds their ambitions."
galend,Galend,Town,7,King Derthert,"Galend overlooks the wave-beaten Biscan coast. It takes in the catch from the Biscan's intrepid fishermen who venture out far into the western ocean, as well as the wool of sheep from the green fog-covered hills. The current line of 7n kings comes from the clans who settled in this region during Osric Iron-Arm's invasion."
jaculan,Jaculan,Town,7,The Baroness Calatild,"Jaculan sits in the warmer southern reaches of the Biscan coast, in rolling hills known for their olive trees. It was once a favored resort of the imperial aristocracy, who hunted wild boars amid the oak forests. The independent peasantry of this region are known for their heterodox ideas. The Brotherhood of the Woods is but the latest of a series of rebellions to have broken out here, sometimes aided by an aristocracy that considers them a tool to use against rival 7n houses."
