village_id,name,culture_id,bound_to_settlement_id,primary_resource,description
kafr_hatif,Kafr Hatif,1,askar,Desert Horses,Kafr Hatif  Settlement Information  Type Village   Kingdom 1   Fortification Askar    Kafr Hatif is a village in the 1 Sultanate ruled by the emir Iyalas of the Banu Arbas. The village is bound to Askar and is known to produce Desert Horses.
mabwaz,Mabwaz,1,askar,Grain,Mabwaz  Settlement Information  Type Village   Kingdom 1   Fortification Askar    Mabwaz is a village in the 1 Sultanate ruled by the emir Iyalas of the Banu Arbas. The village is bound to Askar and is known to produce Grain.
zalm,Zalm,1,askar,Grain,Zalm  Settlement Information  Type Village   Kingdom 1   Fortification Askar    Zalm is a village in the 1 Sultanate ruled by the emir Iyalas of the Banu Arbas. The village is bound to Askar and is known to produce Grain.
mahloul,Mahloul,1,hubyar,Desert Horses,"Mahloul sits in a broad valley between the Jarjara Escarpment and the Jabal Ashabi Mountains in the desert steppe southeast of the Bahr al-Yeshm. Groundwater provides just enough water to grow crops for subsistence, while the village makes its money from rearing horses on the rich grass that grows in the Jabal Ashabi after the spring rains.[1]"
liwas,Liwas,1,hubyar,Desert Horses,"Liwas sits in a broad valley south of the Bahr al-Yeshm. Farmland is limited here, and the land is best known for the horses that are grazed on the desert's short-lived but rich spring grasses.[1]"
waltas,Waltas,1,hubyar,Flax,"Waltas sits by the Bahr al-Yeshm, the Jade Sea, in lowlands well suited to the growing of flax.[1]"
abu_khih,Abu Khih,1,husn_fulq,Dates,"Abu Khih sits along the Nahr al-Kals River on its way to its barren southern reaches. The surrounding lands, an ancient lakebed, are already becoming barren and alkaline, although date-palms still thrive.[1]"
hoqqa,Hoqqa,1,husn_fulq,Horses,"Hoqqa sits on the far east of the 1 lands, on the Tyagis River. The land is mostly desert-steppe. Barren most of the year except for scrub, it is covered in grass and flowers in the spring and is fine grazing for horses.[1]"
abba,Abba,1,iyakis,Grain,"Abba sits on the edge of the deep desert, at the foot of the landward side of the Jarjara Escarpment. Runoff from the hills is trapped underground here, creating springs that sustain an oasis. Wheat thrives in the fields and gardens.[1]"
bir_seif,Bir Seif,1,iyakis,Clay,Bir Seif is centered around a group of wells and pools in the Jarjara Escarpment. Villagers dig down to the shallow groundwater layer for clay to sell to the potters of the Nahasa Desert. [1]
